NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,2,1,0.0
WBI,2,2,0.0
WBI,2,3,0.0
WBI,2,4,0.0
WBI,2,5,0.0
WBI,2,6,0.0
WBI,2,7,0.0
WBI,2,8,0.0
WBI,2,9,0.0
WBI,2,10,0.0
WBI,2,11,0.0
WBI,2,12,1.1142193270860302e-05
WBI,2,13,0.00010110508708743599
WBI,2,14,0.000679364284153844
WBI,2,15,0.00156454963844997
WBI,2,16,0.00315416921175937
WBI,2,17,0.00568638738524671
WBI,2,18,0.00932214695060215
WBI,2,19,0.0140872916061067
WBI,2,20,0.0208453807694497
WBI,2,21,0.0285405674357248
WBI,2,22,0.0367574423834619
WBI,2,23,0.0450190342692094
WBI,2,24,0.0518527558766507
WBI,2,25,0.0584880294206647
WBI,2,26,0.0637890782514011
WBI,2,27,0.0675760413165237
WBI,2,28,0.0697988736071702
WBI,2,29,0.069646469063569
WBI,2,30,0.0705863732234215
WBI,2,31,0.07020611277456
WBI,2,32,0.0687359886180654
WBI,2,33,0.0664183959995037
WBI,2,34,0.0610118771293729
WBI,2,35,0.0624598978757892
WBI,2,36,0.063041829281155
WBI,2,37,0.0629716939167943
WBI,2,38,0.0624331472784464
WBI,2,39,0.0544858987813298
WBI,2,40,0.0512057194430115
WBI,2,41,0.0480073119775999
WBI,2,42,0.0449755925177077
WBI,2,43,0.04216558164036499
WBI,2,44,0.0355816133570247
WBI,2,45,0.029866835318543998
WBI,2,46,0.0249468440515815
WBI,2,47,0.0207418159622217
WBI,2,48,0.0187089422546205
WBI,2,49,0.0154496430824756
WBI,2,50,0.0127093615168604
WBI,2,51,0.0102903452798442
WBI,2,52,0.0
WBI,2,53,0.0
WBI,2,54,0.0
WBI,2,55,0.0
WBI,2,56,0.0
WBI,2,57,0.0
WBI,2,58,0.0
WBI,2,59,0.0
WBI,2,60,0.0
WBI,2,61,0.0
WBI,2,62,0.0
WBI,2,63,0.0
WBI,2,64,0.0
WBI,2,65,0.0
WBI,2,66,0.0
WBI,2,67,0.0
WBI,2,68,0.0
WBI,2,69,0.0
WBI,2,70,0.0
WBI,2,71,0.0
WBI,2,72,0.0
WBI,2,73,0.0
WBI,2,74,0.0
WBI,2,75,0.0
WBI,2,76,0.0
WBI,2,77,0.0
WBI,2,78,0.0
WBI,2,79,0.0
WBI,2,80,0.0
WBI,2,81,0.0
WBI,2,82,0.0
WBI,2,83,0.0
WBI,2,84,0.0
WBI,2,85,0.0
WBI,2,86,0.0
WBI,2,87,0.0
WBI,2,88,0.0
WBI,2,89,0.0
WBI,2,90,0.0
WBI,2,91,0.0
WBI,2,92,0.0
WBI,2,93,0.0
WBI,2,94,0.0
WBI,2,95,0.0
WBI,2,96,0.0
WBI,2,97,0.0
WBI,2,98,0.0
WBI,2,99,0.0
WBI,2,100,0.0
WBI,2,101,0.0
WBI,2,102,0.0
