PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,Age,NewEthpop_ETH
110,E02000001,1,15.0,14.70997294224296,BAN
111,E02000001,1,15.0,14.941857401887779,CHI
112,E02000001,1,16.0,15.250387132759109,WBI
113,E02000001,1,16.0,15.99881715063555,WBI
114,E02000001,1,16.0,15.155681975387202,WBI
115,E02000001,1,16.0,15.703095138050461,WBI
116,E02000001,1,16.0,15.031040017503543,WBI
117,E02000001,1,16.0,15.436800972856833,WBI
118,E02000001,1,16.0,15.85072187020055,WBI
119,E02000001,1,16.0,15.391522281499178,WBI
120,E02000001,1,16.0,15.242928455346942,WBI
121,E02000001,1,16.0,15.043394379174375,WBI
122,E02000001,1,16.0,15.17931230810657,WBI
123,E02000001,1,16.0,15.342737008505416,WBI
124,E02000001,1,16.0,15.431577257540127,WBI
125,E02000001,1,16.0,15.24971683959928,WBI
126,E02000001,1,16.0,15.10365617564229,WBI
127,E02000001,1,16.0,15.604014081945284,WBI
128,E02000001,1,16.0,15.319552206407149,WBI
129,E02000001,1,16.0,15.815398795595769,WBI
130,E02000001,1,16.0,15.360724900572677,WHO
131,E02000001,1,16.0,15.751125798989566,WHO
132,E02000001,1,16.0,15.712688420251494,WHO
133,E02000001,1,16.0,15.835185955739565,MIX
134,E02000001,1,16.0,15.556032013101833,IND
135,E02000001,1,16.0,15.28978627261855,CHI
136,E02000001,1,16.0,15.784535010486064,BLA
137,E02000001,1,16.0,15.085576490339953,BLC
138,E02000001,1,17.0,16.817179258819362,WBI
139,E02000001,1,17.0,16.164301760115258,WBI
140,E02000001,1,17.0,16.032469269291013,WBI
141,E02000001,1,17.0,16.26767449142058,WBI
142,E02000001,1,17.0,16.978175204054885,WBI
143,E02000001,1,17.0,16.371931837063517,WBI
144,E02000001,1,17.0,16.94943173495816,WBI
145,E02000001,1,17.0,16.195259287707977,WBI
146,E02000001,1,17.0,16.690509646806813,WBI
147,E02000001,1,17.0,16.05937182882426,WBI
148,E02000001,1,17.0,16.1550334983525,WBI
149,E02000001,1,17.0,16.63396495676605,WHO
150,E02000001,1,17.0,16.363778930758922,WHO
151,E02000001,1,17.0,16.678273666459027,MIX
152,E02000001,1,17.0,16.80379328629776,IND
153,E02000001,1,17.0,16.799435129236763,BLC
154,E02000001,1,17.0,16.114751807917408,OTH
155,E02000001,1,18.0,17.087362652222602,WBI
156,E02000001,1,18.0,17.645287087698303,WBI
157,E02000001,1,18.0,17.79824822637444,WBI
158,E02000001,1,18.0,17.150408355253077,WBI
159,E02000001,1,18.0,17.907588586269842,WBI
160,E02000001,1,18.0,17.585406371109393,WBI
161,E02000001,1,18.0,17.574627854035807,WBI
162,E02000001,1,18.0,17.151794129274844,WBI
163,E02000001,1,18.0,17.968471407049105,WBI
164,E02000001,1,18.0,17.292121743184822,WBI
165,E02000001,1,18.0,17.220147215328744,WBI
166,E02000001,1,18.0,17.256420047239818,WHO
167,E02000001,1,18.0,17.69994109512669,WHO
168,E02000001,1,18.0,17.151190263507416,WHO
169,E02000001,1,18.0,17.941513188539098,WHO
170,E02000001,1,18.0,17.522508541233783,WHO
171,E02000001,1,18.0,17.805492853382695,IND
172,E02000001,1,18.0,17.43284361272155,BAN
173,E02000001,1,18.0,17.977812022530344,CHI
174,E02000001,1,18.0,17.82141785279384,CHI
175,E02000001,1,18.0,17.024792848798146,OTH
176,E02000001,1,19.0,18.56556379103266,WBI
177,E02000001,1,19.0,18.229380156294575,WBI
178,E02000001,1,19.0,18.135869246757515,WBI
179,E02000001,1,19.0,18.16390251318309,WBI
180,E02000001,1,19.0,18.059880026763246,WBI
181,E02000001,1,19.0,18.47471079852354,WBI
182,E02000001,1,19.0,18.600554457754335,WBI
183,E02000001,1,19.0,18.64951563936593,WBI
184,E02000001,1,19.0,18.260320657774898,WBI
185,E02000001,1,19.0,18.38261817777874,WBI
186,E02000001,1,19.0,18.25984603516526,WHO
187,E02000001,1,19.0,18.08345175676898,WHO
188,E02000001,1,19.0,18.15414379087172,WHO
189,E02000001,1,19.0,18.401642482816573,WHO
190,E02000001,1,19.0,18.125538319656485,WHO
191,E02000001,1,19.0,18.96910688690174,WHO
