DC1117EW_C_SEX,DC1117EW_C_AGE,NewEthpop_ETH,Rate
1,12,MIX,0.00013241700000000002
1,13,MIX,0.000154286
1,14,MIX,0.00017675900000000002
1,15,MIX,0.000188779
1,16,MIX,0.00021345
1,17,MIX,0.000331933
1,18,MIX,0.000468135
1,19,MIX,0.00052968
1,20,MIX,0.000497268
1,21,MIX,0.00043935199999999995
1,22,MIX,0.00044546099999999997
1,23,MIX,0.00042705900000000003
1,24,MIX,0.000458654
1,25,MIX,0.000430593
1,26,MIX,0.00033151199999999995
1,27,MIX,0.000361576
1,28,MIX,0.000391048
1,29,MIX,0.000426879
1,30,MIX,0.00047268300000000005
1,31,MIX,0.000510765
1,32,MIX,0.000552097
1,33,MIX,0.000642806
1,34,MIX,0.000770023
1,35,MIX,0.000873045
1,36,MIX,0.000938655
1,37,MIX,0.000955833
1,38,MIX,0.001014067
1,39,MIX,0.0010671189999999998
1,40,MIX,0.0012679310000000001
1,41,MIX,0.0014377029999999998
1,42,MIX,0.0014909
1,43,MIX,0.001625581
1,44,MIX,0.001669185
1,45,MIX,0.001964104
1,46,MIX,0.002349165
1,47,MIX,0.0025494420000000003
1,48,MIX,0.0028534470000000003
1,49,MIX,0.0032392809999999997
1,50,MIX,0.003249565
1,51,MIX,0.003446537
1,52,MIX,0.004145421
1,53,MIX,0.004819885
1,54,MIX,0.005781343
1,55,MIX,0.006830674
1,56,MIX,0.007874645999999999
1,57,MIX,0.008828057
1,58,MIX,0.009496604
1,59,MIX,0.009908726999999999
1,60,MIX,0.010660928
1,61,MIX,0.012073299
1,62,MIX,0.013418365
1,63,MIX,0.014088306
1,64,MIX,0.013901896
1,65,MIX,0.015652695
1,66,MIX,0.018837037
1,67,MIX,0.020747009
1,68,MIX,0.022819427000000003
1,69,MIX,0.027145305
1,70,MIX,0.030445625
1,71,MIX,0.031293457999999996
1,72,MIX,0.032953703
1,73,MIX,0.034969649
1,74,MIX,0.038716753
1,75,MIX,0.042141039000000005
1,76,MIX,0.044031705
1,77,MIX,0.048432975
1,78,MIX,0.053924899000000005
1,79,MIX,0.059449213
1,80,MIX,0.059823449
1,81,MIX,0.066502753
1,82,MIX,0.073927803
1,83,MIX,0.08218186200000001
1,84,MIX,0.091357489
1,85,MIX,0.101557576
1,86,MIX,0.16541562
1,1,IND,0.0033980840000000004
1,2,IND,0.000304321
1,3,IND,0.000189225
1,4,IND,0.00014353
1,5,IND,0.00024478200000000003
1,6,IND,0.000313263
1,7,IND,0.00029990700000000003
1,8,IND,0.000304203
1,9,IND,0.000220237
1,10,IND,0.000145261
1,11,IND,0.000131843
1,12,IND,0.00013152200000000002
1,13,IND,0.00014995
1,14,IND,0.000178189
1,15,IND,0.00018182900000000002
1,16,IND,0.00018980400000000001
1,17,IND,0.000281128
1,18,IND,0.0004203
1,19,IND,0.00047762300000000004
1,20,IND,0.00041523
1,21,IND,0.00038946099999999996
1,22,IND,0.000415106
1,23,IND,0.000391336
1,24,IND,0.00044353
1,25,IND,0.00042292400000000003
1,26,IND,0.000326027
1,27,IND,0.000347872
1,28,IND,0.00035926199999999995
1,29,IND,0.000413697
1,30,IND,0.00046756099999999996
1,31,IND,0.000502514
1,32,IND,0.00055134
1,33,IND,0.000646434
1,34,IND,0.00079061
1,35,IND,0.000899206
1,36,IND,0.0009668319999999999
1,37,IND,0.000986307
1,38,IND,0.00101336
1,39,IND,0.0010575860000000001
1,40,IND,0.001301228
1,41,IND,0.0014668510000000001
1,42,IND,0.001498024
1,43,IND,0.0016061920000000002
1,44,IND,0.001620699
1,45,IND,0.001905465
1,46,IND,0.00225263
1,47,IND,0.002491498
1,48,IND,0.0028938109999999996
1,49,IND,0.00328762
1,50,IND,0.0032965000000000004
1,51,IND,0.003572802
1,52,IND,0.00422685
1,53,IND,0.004985655
1,54,IND,0.006057384
1,55,IND,0.007065659
1,56,IND,0.007871416
1,57,IND,0.008575738000000001
1,58,IND,0.009214394
1,59,IND,0.00963002
1,60,IND,0.010629783
1,61,IND,0.012293188
1,62,IND,0.013616935
1,63,IND,0.014169303000000001
1,64,IND,0.013989796
1,65,IND,0.015864371000000002
1,66,IND,0.019122049
1,67,IND,0.020917023
1,68,IND,0.023085151
1,69,IND,0.027589379
1,70,IND,0.030570733
1,71,IND,0.031060275
1,72,IND,0.032664677999999996
1,73,IND,0.034906865
1,74,IND,0.038545428
1,75,IND,0.041559228999999996
1,76,IND,0.043879098
1,77,IND,0.048539152
1,78,IND,0.053910709
