DC1117EW_C_AGE,NewEthpop_ETH,Rate,DC1117EW_C_SEX
34,MIX,0.05596360400000001,2
35,MIX,0.055472024,2
36,MIX,0.054350666,2
37,MIX,0.052834408,2
38,MIX,0.044908849,2
39,MIX,0.040822132000000004,2
40,MIX,0.037011237999999995,2
41,MIX,0.033552455,2
42,MIX,0.030482662,2
43,MIX,0.02475605,2
44,MIX,0.019960605,2
45,MIX,0.015986572,2
46,MIX,0.012723755,2
47,MIX,0.01116464,2
48,MIX,0.008802111999999999,2
49,MIX,0.006903193,2
50,MIX,0.005284077,2
51,MIX,0.0,2
52,MIX,0.0,2
53,MIX,0.0,2
54,MIX,0.0,2
55,MIX,0.0,2
56,MIX,0.0,2
57,MIX,0.0,2
58,MIX,0.0,2
59,MIX,0.0,2
60,MIX,0.0,2
61,MIX,0.0,2
62,MIX,0.0,2
63,MIX,0.0,2
64,MIX,0.0,2
65,MIX,0.0,2
66,MIX,0.0,2
67,MIX,0.0,2
68,MIX,0.0,2
69,MIX,0.0,2
70,MIX,0.0,2
71,MIX,0.0,2
72,MIX,0.0,2
73,MIX,0.0,2
74,MIX,0.0,2
75,MIX,0.0,2
76,MIX,0.0,2
77,MIX,0.0,2
78,MIX,0.0,2
79,MIX,0.0,2
80,MIX,0.0,2
81,MIX,0.0,2
82,MIX,0.0,2
83,MIX,0.0,2
84,MIX,0.0,2
85,MIX,0.0,2
86,MIX,0.0,2
1,IND,0.0,2
2,IND,0.0,2
3,IND,0.0,2
4,IND,0.0,2
5,IND,0.0,2
6,IND,0.0,2
7,IND,0.0,2
8,IND,0.0,2
9,IND,0.0,2
10,IND,0.0,2
11,IND,5.27e-06,2
12,IND,6.59e-05,2
13,IND,0.000553779,2
14,IND,0.001387908,2
15,IND,0.003003756,2
16,IND,0.0057497419999999995,2
17,IND,0.009915115,2
18,IND,0.015633542,2
19,IND,0.0240107,2
20,IND,0.033839755,2
21,IND,0.044582091,2
22,IND,0.055565504,2
23,IND,0.06489466,2
24,IND,0.073931698,2
25,IND,0.081127741,2
26,IND,0.086182958,2
27,IND,0.08900229300000001,2
28,IND,0.088557556,2
29,IND,0.089245434,2
30,IND,0.088082478,2
31,IND,0.08542995,2
32,IND,0.081663826,2
33,IND,0.074045976,2
34,IND,0.074486373,2
35,IND,0.073913233,2
36,IND,0.072637283,2
37,IND,0.07091624099999999,2
38,IND,0.060690811,2
39,IND,0.055716549000000004,2
40,IND,0.051067031,2
41,IND,0.04682288,2
42,IND,0.043025459,2
43,IND,0.035447671,2
44,IND,0.029029642,2
45,IND,0.023641227,2
46,IND,0.019152805,2
47,IND,0.016999293000000002,2
48,IND,0.013664507,2
49,IND,0.010937063,2
50,IND,0.008579063,2
51,IND,0.0,2
52,IND,0.0,2
53,IND,0.0,2
54,IND,0.0,2
55,IND,0.0,2
56,IND,0.0,2
57,IND,0.0,2
58,IND,0.0,2
59,IND,0.0,2
60,IND,0.0,2
61,IND,0.0,2
62,IND,0.0,2
63,IND,0.0,2
64,IND,0.0,2
65,IND,0.0,2
66,IND,0.0,2
67,IND,0.0,2
68,IND,0.0,2
69,IND,0.0,2
70,IND,0.0,2
71,IND,0.0,2
72,IND,0.0,2
73,IND,0.0,2
74,IND,0.0,2
75,IND,0.0,2
76,IND,0.0,2
77,IND,0.0,2
78,IND,0.0,2
79,IND,0.0,2
80,IND,0.0,2
81,IND,0.0,2
82,IND,0.0,2
83,IND,0.0,2
84,IND,0.0,2
85,IND,0.0,2
86,IND,0.0,2
1,PAK,0.0,2
2,PAK,0.0,2
3,PAK,0.0,2
4,PAK,0.0,2
5,PAK,0.0,2
6,PAK,0.0,2
7,PAK,0.0,2
8,PAK,0.0,2
9,PAK,0.0,2
10,PAK,0.0,2
11,PAK,0.000541565,2
12,PAK,0.0020885770000000003,2
13,PAK,0.007146291,2
14,PAK,0.012503469,2
15,PAK,0.01983118,2
16,PAK,0.028960028999999998,2
17,PAK,0.039433874,2
18,PAK,0.050590274000000005,2
19,PAK,0.064307057,2
20,PAK,0.077506776,2
21,PAK,0.089509854,2
22,PAK,0.09980419800000001,2
23,PAK,0.105439768,2
24,PAK,0.110122026,2
25,PAK,0.11242575699999999,2
26,PAK,0.11255224,2
27,PAK,0.110789705,2
28,PAK,0.105984638,2
29,PAK,0.10347185,2
30,PAK,0.099850319,2
31,PAK,0.095440419,2
32,PAK,0.09052514,2
33,PAK,0.08187899900000001,2
34,PAK,0.082745094,2
35,PAK,0.082880545,2
36,PAK,0.082485022,2
37,PAK,0.081721339,2
38,PAK,0.071430756,2
39,PAK,0.067474294,2
40,PAK,0.063719898,2
41,PAK,0.060222338,2
42,PAK,0.057012214000000005,2
43,PAK,0.048740294,2
44,PAK,0.041524644,2
45,PAK,0.035263599,2
46,PAK,0.029856813,2
47,PAK,0.027236822,2
48,PAK,0.022958925,2
49,PAK,0.019305108999999997,2
50,PAK,0.016039471,2
51,PAK,0.0,2
52,PAK,0.0,2
53,PAK,0.0,2
54,PAK,0.0,2
55,PAK,0.0,2
56,PAK,0.0,2
57,PAK,0.0,2
58,PAK,0.0,2
59,PAK,0.0,2
60,PAK,0.0,2
61,PAK,0.0,2
62,PAK,0.0,2
63,PAK,0.0,2
64,PAK,0.0,2
65,PAK,0.0,2
66,PAK,0.0,2
67,PAK,0.0,2
68,PAK,0.0,2
69,PAK,0.0,2
70,PAK,0.0,2
