NewEthpop_ETH,DC1117EW_C_SEX,DC1117EW_C_AGE,Rate
WBI,1,1,0.003922842
WBI,1,2,0.001864116
WBI,1,3,0.000292004
WBI,1,4,0.000188233
WBI,1,5,0.00014786200000000002
WBI,1,6,0.000224462
WBI,1,7,0.000296417
WBI,1,8,0.000308657
WBI,1,9,0.000311404
WBI,1,10,0.000222632
WBI,1,11,0.000145261
WBI,1,12,0.000129247
WBI,1,13,0.000130298
WBI,1,14,0.00015287799999999998
WBI,1,15,0.000184726
WBI,1,16,0.000202205
WBI,1,17,0.00023826099999999997
WBI,1,18,0.000373548
WBI,1,19,0.0005167819999999999
WBI,1,20,0.000610159
WBI,1,21,0.0006041919999999999
WBI,1,22,0.000521236
WBI,1,23,0.000524554
WBI,1,24,0.000516292
WBI,1,25,0.000556587
WBI,1,26,0.000535757
WBI,1,27,0.00041866099999999997
WBI,1,28,0.000457905
WBI,1,29,0.00049863
WBI,1,30,0.000546533
WBI,1,31,0.000609671
WBI,1,32,0.0006556260000000001
WBI,1,33,0.0007070239999999999
WBI,1,34,0.000812953
WBI,1,35,0.000970675
WBI,1,36,0.0010556110000000001
WBI,1,37,0.001076924
WBI,1,38,0.001112916
WBI,1,39,0.001149464
WBI,1,40,0.001152651
WBI,1,41,0.001350246
WBI,1,42,0.0015235560000000001
WBI,1,43,0.0015377320000000002
WBI,1,44,0.001627977
WBI,1,45,0.001674325
WBI,1,46,0.001907633
WBI,1,47,0.0022579429999999997
WBI,1,48,0.002492677
WBI,1,49,0.0027626659999999996
WBI,1,50,0.0031244379999999998
WBI,1,51,0.00321066
WBI,1,52,0.00335601
WBI,1,53,0.003939865999999999
WBI,1,54,0.004683988
WBI,1,55,0.00566138
WBI,1,56,0.006634757
WBI,1,57,0.007649736999999999
WBI,1,58,0.008582915
WBI,1,59,0.009170465
WBI,1,60,0.009680031
WBI,1,61,0.01039666
WBI,1,62,0.011617981000000001
WBI,1,63,0.012917878999999998
WBI,1,64,0.013475485
WBI,1,65,0.013332598999999999
WBI,1,66,0.015276032
WBI,1,67,0.018449636000000002
WBI,1,68,0.020214063
WBI,1,69,0.022366808
WBI,1,70,0.02687515
WBI,1,71,0.030073261
WBI,1,72,0.030717661
WBI,1,73,0.032380064
WBI,1,74,0.034633838
WBI,1,75,0.038441621
WBI,1,76,0.041731934
WBI,1,77,0.044071368
WBI,1,78,0.048981668
WBI,1,79,0.054668519000000006
WBI,1,80,0.060312690999999995
WBI,1,81,0.06091590400000001
WBI,1,82,0.067752861
WBI,1,83,0.075357171
WBI,1,84,0.083814958
WBI,1,85,0.093222013
WBI,1,86,0.10368487800000001
WBI,1,87,0.11532205400000001
WBI,1,88,0.128265339
WBI,1,89,0.142661328
WBI,1,90,0.158673064
WBI,1,91,0.176481893
WBI,1,92,0.196289514
WBI,1,93,0.21832026300000001
WBI,1,94,0.242823655
WBI,1,95,0.270077209
WBI,1,96,0.300389594
WBI,1,97,0.334104119
WBI,1,98,0.371602627
WBI,1,99,0.413309817
WBI,1,100,0.459698056
WBI,1,101,0.511292725
WBI,1,102,0.568678173
